,,
,학과,인천대학교 가족회사 업종
인문대학,국어국문학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
,영어영문학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
,독어독문학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
,불어불문학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
,일어일문학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
,중어중국학과,"교육서비스업, 번역 및 통역서비스업, 지식서비스"
자연과학대학,수학과,"금융, 신용보증, 교육서비스업, 지식서비스"
,물리학과,"신,재생 에너지 (전기,스팀,온수)생산, 광학기기, 에너지 계측기, 유체 및 열 관련 시험 장비 , 물질 검사, 측정 및 분석기구, 이화학기기외, 신재생 에너지 관련 제품 및 부자재, 냉동사이클이용보조열원없이고온수개발, 교육서비스업, 연구개발, 물리,화학 및 생물학 연구개발업"
,화학과,"건강식품, 바이오활용제품, 신,재생 에너지 (전기,스팀,온수)생산, 의료, 화장품, 화장품, 건강식품, 세제, 벽 및 바닥 피복용 플라스틱제품 , 합성염료, 유연제 및 기타착색제, 그외 기타 분류안된 화학제품, 합성염료, 유연제 및 기타착색제 , 사진용 화학제품 및 감광재료, 접착제 및 젤라틴, 차량용 케미칼, 플라스틱 발포 성형제품, 산업용 비경화고무제품, 아스팔트 방수시트, 온수온돌패널 구조제, 살균수관련제품, 그외 기타 플라스틱 제품, 기타 고무제품, 표면처리, 화학약품, 플라스틱 필름, 시트 및 판, 의약용 화합물 및 항생물질, 기타 화학물질 및 화학 제품, 기타 플라스틱 제품, 화장품, 합성염료, 유연제 및 기타착색제, 스크린 인쇄업, 의약·보건·사회복지 , 그외 기타 분류안된 화학제품 제조업 , 방수제 외 케미칼, 의학 및 약학연구개발, 물질 검사, 측정 및 분석기구 , 이화학기기외, 신재생 에너지 관련 제품 및 부자재, 냉동사이클이용보조열원없이고온수개발, 섬유제품제조업,도소매, 바이오 제품 서비스, 제조 도소매, 교육서비스업, 화장품 도매업, 라이터, 연소물 및 흡연용품 제조업 , 기타 식품 첨가물 제조업, 그외 기타 분류안된 화학제품 제조업 , 연구개발, 물리,화학 및 생물학 연구개발업, 화장품 제조업 , 기타 화학물질 및 화학제품 도매업 , 화장품 도매업 , 화장품제조, 공기조화기 외"
,패션산업학과,"가구류 일체, 핸드폰 케이스 및 액세서리 등, 주방가구, 자동차 부품 설계, 금형, 제품설계, 패션쥬얼리, 자동차 설계, 자동차 금형, 바이오플랜트 설계, 인쇄출판,산업디자인 및 가구설계, 디자인, 의류, 산업디자인, 산업디자인 등, 디자인 및 출판, 기타 목재가구 , 청소용품, 가구, 목재, 각종 인테리어 내장재 생산판매, 금속캔 및 기타 포장용기, 포장용 유리용기, 생활, 주방용품, 신발 및 생활잡화, 남성의류, 산업디자인,영상콘텐츠제작, 생활용품, 잡화, 무역, 컨설팅 의류, 광고 영화 및 비디오물, 공예상품, 인물사진 및 행사용비디오 촬영업 , 도배, 실내장식 및 내장 목공사업, 건설,서비스,인테리어 외, 전시회개최 등"
